iops,flops
2.70838722,2.256754815
2.72424145,2.268285775
2.71842403,2.255771315
2.73054621,2.251229225
2.72745942,2.24949956
2.74871674,2.262094065
2.734230345,2.263315845
2.74036609,2.263343285
2.71616709,2.264358215
2.748743585,2.25590897
2.717799945,2.2574958
2.73444913,2.25111467
2.73784938,2.247327285
2.74006124,2.24812266
2.73804678,2.25048411
2.740778565,2.24844851
2.730835835,2.25387862
2.733997665,2.25064826
2.74160383,2.26077348
2.749670175,2.255416275
2.72320111,2.248454005
2.72971986,2.2539426
2.74123066,2.25198267
2.72005461,2.260022625
2.741128985,2.263552725
2.719902885,2.263946335
2.728843495,2.265727765
2.722499395,2.2629397
2.729112085,2.26325106
2.74945657,2.2591436
2.740766245,2.25640254
2.738373785,2.266363715
2.55497564,1.724914695
2.461441325,2.150698515
2.724547175,2.25965054
2.71583977,2.257037335
2.70970147,2.257656065
2.717694595,2.25336335
2.71579525,2.25128211
2.705136875,2.25531082
2.73193032,2.25561714
2.70707227,2.265344305
2.70111681,2.24992376
2.713132905,2.26040297
2.72011264,2.25601355
2.69920511,2.263163525
2.709940835,2.26168922
2.700500285,2.259874015
2.67885982,2.260012405
2.69756634,2.256645055
2.715516265,2.250920595
2.70704042,2.255303435
2.687284145,2.2612093
2.709977655,2.25442399
2.69374266,2.259415655
2.706120235,2.26198938
2.690447095,2.254542885
2.69667545,2.25794849
2.71346642,2.26201752
2.707848255,2.260382145
2.70989005,2.25419761
2.69003378,2.252171215
2.713604355,2.26052659
